Frequency,Amplitude
176.5,0.00129754
177,0.000793324
177.5,0.000524969
178,0.000615913
178.5,0.00239228
179,0.00167131
179.5,0.00147458
180,0.00197215
180.5,0.0011915
181,0.0021151
181.5,0.00161854
182,0.00192544
182.5,0.00243365
183,0.000643553
183.5,0.000741858
184,0.000545706
184.5,0.00136407
185,0.000718161
185.5,0.00128284
186,0.000285853
186.5,0.0014201
187,0.00262105
187.5,0.00140633
188,0.00097101
188.5,0.00140824
189,0.00137647
189.5,0.000994169
190,0.000839971
190.5,0.00113446
191,0.00100539
191.5,0.00141437
192,0.00214654
192.5,0.000657166
193,0.00171627
193.5,0.00106711
194,0.00120433
194.5,0.000334673
195,0.00131101
195.5,0.00110518
196,0.000162992
196.5,0.000475578
197,0.000749997
197.5,0.000618134
198,0.00185244
198.5,0.00392311
199,0.00128836
199.5,0.00228304
200,0.000964329
200.5,0.00140884
201,0.00133231
201.5,0.00115468
202,0.00102723
202.5,0.00115575
203,0.00124215
203.5,0.0020965
204,0.00308656
204.5,0.00195475
205,0.00243278
205.5,0.00215396
206,0.00125835
206.5,0.00122287
207,0.00341518
207.5,0.0019784
208,0.00113011
208.5,0.00475462
209,0.00294813
209.5,0.00384817
210,0.00239569
210.5,0.00144872
211,0.00139591
211.5,0.00335603
212,0.00218844
212.5,0.00111521
213,0.00258335
213.5,0.000549133
214,0.000750303
214.5,0.00214496
215,0.0020756
215.5,0.000719747
216,0.00128147
216.5,0.00339377
217,0.00301835
217.5,0.00226652
218,0.00234667
218.5,0.00103205
219,0.00269247
219.5,0.00202128
220,0.00285553
220.5,0.00468042
221,0.00334548
221.5,0.00130411
222,8.91826e-05
222.5,0.00166744
223,0.000699936
223.5,0.00117747
224,0.00259406
224.5,0.00114086
225,0.00162828
225.5,0.00129625
226,0.00193409
226.5,0.0023638
227,0.000693459
227.5,0.00155091
228,0.00235468
228.5,0.00226736
229,0.00153924
229.5,0.00162531
230,0.00191551
230.5,0.00325301
231,0.00464907
231.5,0.00445692
232,0.0037237
232.5,0.00182443
233,0.00345704
233.5,0.00404702
234,0.0036764
234.5,0.00269055
235,0.00268208
235.5,0.000859981
236,0.00501447
236.5,0.00452856
237,0.00478054
237.5,0.00208162
238,0.00119845
238.5,0.00292334
239,0.00340722
239.5,0.00363657
240,0.0041203
240.5,0.00339993
241,0.00263781
241.5,0.00400269
242,0.00625141
242.5,0.00478567
243,0.00340862
243.5,0.00282978
244,0.0032136
244.5,0.00204754
245,0.000653
245.5,0.00360752
246,0.00474801
246.5,0.0039863
247,0.00439232
247.5,0.00263085
248,0.00479603
248.5,0.00583566
249,0.00320737
249.5,0.00318177
250,0.00228377
250.5,0.00401272
251,0.00172321
251.5,0.000924499
252,0.00294701
252.5,0.00458901
253,0.00516028
253.5,0.00443401
254,0.00373139
254.5,0.00393603
255,0.0045897
255.5,0.00441835
256,0.00188581
256.5,0.000910872
257,0.00123254
257.5,0.00274332
258,0.00237565
258.5,0.00238812
259,0.00228846
259.5,0.00438939
260,0.00318464
260.5,0.00220506
261,0.00211836
261.5,0.00425283
262,0.00539804
262.5,0.00258764
263,0.00323865
263.5,0.0117415
264,0.0130101
264.5,0.00888072
265,0.00676412
265.5,0.00756572
266,0.0096326
266.5,0.00674611
267,0.00314895
267.5,0.0116459
268,0.016775
268.5,0.0147089
269,0.00865971
269.5,0.00955533
270,0.014832
270.5,0.0144962
271,0.00924636
271.5,0.00390321
272,0.00861162
272.5,0.00869875
273,0.00328534
273.5,0.00744729
274,0.0111387
274.5,0.00926889
275,0.00874399
275.5,0.00758453
276,0.00557432
276.5,0.00303909
277,0.00162895
277.5,0.00290651
278,0.00472876
278.5,0.0064226
279,0.00377763
279.5,0.00188307
280,0.000581482
280.5,0.00222219
281,0.000878358
281.5,0.00263606
282,0.00394506
282.5,0.00362938
283,0.00202699
283.5,0.00312014
284,0.00243296
284.5,0.00197582
285,0.00498328
285.5,0.00334219
286,0.00634744
286.5,0.00387899
287,0.00374503
287.5,0.0119518
288,0.00237604
288.5,0.00487057
289,0.00130994
289.5,0.0040495
290,0.00953361
290.5,0.00824492
291,0.00214382
291.5,0.0066013
292,0.00389144
292.5,0.00383541
293,0.00500993
293.5,0.00360218
294,0.00183348
294.5,0.0010947
295,0.00311583
295.5,0.00494102
296,0.00629181
296.5,0.00488183
297,0.00319134
297.5,0.00306007
298,0.00866722
298.5,0.00458767
299,0.00293381
299.5,0.00687546
300,0.00394412
300.5,0.00406901
301,0.00410532
301.5,0.00343312
302,0.00285001
302.5,0.00343053
303,0.00448688
303.5,0.00545467
304,0.00653838
304.5,0.00815141
305,0.00801654
305.5,0.00583943
306,0.00347116
306.5,0.000438193
307,0.00394647
307.5,0.00458508
308,0.00560353
308.5,0.00214894
309,0.00315689
309.5,0.00466116
310,0.00213075
310.5,0.00254493
311,0.00201534
311.5,0.00237953
312,0.0033529
312.5,0.00221855
313,0.00048511
313.5,0.00129849
314,0.00213633
314.5,0.0031972
315,0.00338559
315.5,0.00218905
316,0.00397591
316.5,0.00387368
317,0.00350661
317.5,0.00240769
318,0.00109236
318.5,0.00179336
319,0.00400445
319.5,0.00663199
320,0.00744493
